,FBPost,Label
0,Drug Runners and  a U.S. Senator have something to do with the Murder http://www.amazon.com/Circumstantial-Evidence-Getting-Florida-Bozarth-ebook/dp/B004FPZ452/ref=pd_rhf_p_t_1 The State Attorney Knows... NOW So Will You. GET Ypur Copy TODAY,O
1,"Heres a single, to add, to Kindle. Just read this 19th century story: ""The Ghost of Round Island"". Its about a man (French/American Indian) and his dog sled transporting a woman across the ice, from Mackinac Island to Cheboygan - and the ghost that...",O
2,If you tire of Non-Fiction.. Check out http://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=danielle+lee+zwissler+&x=0&y=0,O
3,Ghost of Round Island is supposedly nonfiction.,O
4,Why is Barnes and Nobles version of the Kindle so much more expensive than the Kindle?,N
5,"@Maria:  Do you mean the Nook?  Be careful, books you buy for the Kindle are for that piece of electronics, and vice versa.  I love my Kindle, there are people that swear by the Nook.  They like the color screen.Me?  I want an ereader that is a reader-- so I dont need color.  The kindle battery lasts longer, and the unit isnt as heavy, which can make a difference after reading for a few hours. :)",P
6,kindle is awesome! mines great,P
7,I love mine!!!!,P
8,Meh. I think Singles are a bad idea. Big name authors already dominate the market by a huge factor. Now you are letting them compete on price point with indie authors (albeit giving less content for the money).,N
9,My daugjhter loves hers!,P
10,I am not sure if i just got my update but now i dont have location numbers unless i press the menu button.  But i also dont have page numbers! Am i doing something wrong?,N
11,"Got a Kindle for Xmas and I love it.   Never was much of a book reader, but this has been fun.  I am on my 5th book since Christmas!",P
12,"I dont have the patience for kindle singles. If Im gonna read, I need at least 200 pages.",P
13,Love the new singles ~ am reading Jodi Picoults right now while waiting till Tuesday for her new book to come out!,P
14,"Not a fan of Kindle Singles.  They clog up the Kindle Book page and its tough to sort through full-legnth new releases because there are so, so many Singles there.",N
15,Best thing since sliced bread.,P
16,we love our kindles......,P
17,can anybody tell me if the FREE chapters of TICK TOC by Patterson are a summary of each chapter or the real deal....my kindle jumps 5-10 % of read with each page I read and I have real big text...thank you!,P
18,"Love  my kindle, too!  Also enoyed the New York Times article...thought provoking as well kindle loving.",P
19,Yeah once u get a kindle its hard to put it down sumtimes because there r so many books to choose from I luv mine as well,P
20,What is a single?,O
21,anyone know how to legthen the time before the kindle go into screen saver mood????????,P
22,"LOVE my Kindle..not sure if I got the update or not, though because I dont see any difference when I read. Color? I dont need color to read so Kindle is perfect. And Singles, Ive read a few, not  really a fan or not oen way or another..I just like to read so I read whatever looks interesting at the time. Did I say....LOVE my Kindle? I sure do!!",P
23,Its just too bad you arent offering these for the Original Kindle.  Seems like those of us who got on your bandwagon first are just left in the dust.,N
24,love this kindle....,P
25,AND Then There IS www.amazon.com/Circumstantial-Evidence-Getting-Florida-Bozarth-ebook/dp/B004FPZ452/ref=pd_rhf_p_t_1  CAN You Solve this Mystery.  Get your Copy TODAY on Amazon for Kindle,O
26,"you arent missing a thing, I tried this game and it sucks!",O
27,I have a couple games on my kindle...only problem is my family seems to think I put them on there for them...,N
28,why dont you make it free? Its not all about money you know...,O
29,So let me get this straight...Kindle is now a gaming device?  Dont jump the shark Kindle...please dont!,N
30,True Anders...although they are in it for the money:) Otherwise they wouldnt be in existence.,O
31,Can we play these games on the kindle app on ipad?,O
32,"Mr. Meisch, its ok; calm down :-P. Yes, they have games but the ones that I have tried (I have about 5 on my Kindle along with 30 gazillion books) are either text based or just simple time killers. So far they are actually decent (well, what Ive tried is anyway. Ive heard of some awful ones).I have the one they are touting here and its... ok. Not my favorite (try Triple Town; its addictive) but this one is decent enough. The beginning is too easy by far, the middle is good and the end levels are killer.",P
33,Is that right? Only the original Kindle? What about the 2nd generation?,O
34,"They have free games also: blackjack, poker and word games.",P
35,I love Every Word and Video Poker. For when your not reading.,P
36,Are there any stand-alone interactive fiction (text adventure) games? I know there are some online ones but I dont have 3g and Id like to play away from wifi.,O
